A,$x_0$,w
0.2223802437101993,39958.63896605325,0.0780468070537011
0.2129459959805895,39955.97576715853,0.0752028100347491
1.4750856118397422,39869.8366938762,0.0776731892581177
1.339069255597305,39869.59789288223,0.0781606482803232
0.0363878921755355,39859.00402962381,0.0724153630481226
0.0390362126045406,39849.71150210192,0.0551886602855479
0.0645165490098963,39840.98376567077,0.0696335246594384
0.233623502348712,39772.90278422189,0.0775481275223582
0.0298068273796552,39770.01337485412,0.0554168334887432
0.4748823642355494,39768.85147803796,0.0763723488548927
0.2326362617527237,39766.89977826907,0.0758810067131811
0.032147196436315,39749.97695212994,0.0610868639537852
0.0600643726678831,39638.5953372957,0.0715494889604675
0.1238548862364519,39633.56320622702,0.0723017674364469
0.0615294322712785,39633.06604850135,0.0729265414099082
0.0316159868182204,39619.357728365496,0.0635820874924574
0.0345126187435012,39560.76207743051,0.0681625022761576
0.031326114801053,39291.80644606416,0.072903137339435
0.0411720671604216,39288.25787898513,0.0773221959167837
0.3276093094384774,39039.997519167184,0.0734748078423205
0.0407077187747937,38913.76389898973,0.0535718051413594
0.044427987594359,38901.95998165583,0.0685645866569307
0.2627119060949392,38884.46237986689,0.0803124477051842
1.9609147969245209,38876.52923622445,0.0777083258221415
0.564783601506575,38866.45291043432,0.0790618272608378
0.3028246225289945,38857.32280999656,0.0757887322158925
0.1281064827263054,38855.99314174993,0.0725273917859713
0.1235448733974911,38843.904527800856,0.0863632001513996
0.1168380357248059,38842.27237059966,0.0670469664225312
0.0492217754464774,38838.28016139947,0.0759935224531798
0.0830126641220061,38827.03081143644,0.0757410526454254
0.0472451792466732,38821.07010669526,0.0768620295569907
0.1004538907608885,38815.955857861474,0.0714377059406475
0.0486856056463931,38811.79076552175,0.0885192213785528
0.0260210591354146,38810.655648691645,0.1251883280034386
0.4847137464579404,38786.95821772511,0.0778099004747755
1.0852981942141755,38780.64802517773,0.0782451984935366
0.5343305908573988,38774.70745545548,0.0767632228972836
0.0855138148126742,38765.75576326104,0.0803152210149641
0.1108897660522152,38740.193921966944,0.0699989504925986
0.3497103202442143,38727.92761660553,0.0768785106199178
0.5901732566817436,38721.38757235568,0.077855529527737
0.0543400411896341,38716.93761527311,0.0696569943093773
0.2516943547109425,38715.67333024964,0.0737319588730808
0.0489439939800728,38710.75990526241,0.0652419145818066
0.0383739128018798,38699.91327353648,0.0756959343045505
0.2354226684964797,38628.5733193105,0.0758253363709335
0.4619855326989114,38624.09182875844,0.0783824609780827
0.2334580849185581,38622.70672240441,0.0767725696781497
0.030888542247527,38549.594858117925,0.0700673785771272
0.0405715427153203,38235.88073662816,0.0726593452149692
0.0443921993048149,38069.86223030249,0.063067601486484
0.0464038275079982,38066.810221685,0.0638728736116501
0.0498853152225541,38063.45694883272,0.0626277434073902
0.0420924852103975,38061.64715680239,0.0588690995584958
0.0483304620486231,38059.76089763575,0.0698872206617299
0.0441009948795824,38048.90813305455,0.0763992551039305
0.0507157189071857,38014.15792009484,0.058649103853949
0.0449553301657281,37989.653192006685,0.082660383040016
0.7025342067206201,37988.23619889392,0.0770670154973454
0.3640933254314598,37987.929682025446,0.0695711530869144
1.1850602183899874,37985.71366871176,0.076887823334361
0.5905147561187644,37985.406554192086,0.0731664528450457
0.0549546717064284,37984.53103236375,0.0912229379516856
1.5556778235048674,37982.99474396134,0.0749237409512679
0.5979931745984783,37982.6662872475,0.0641880997132004
0.0731750401225065,37981.70324854168,0.0638348069840124
0.0494222660376212,37978.72978814062,0.0695719352628566
0.8020368057048579,37977.54208324736,0.0772818460627105
2.0705727016585027,37976.97603156597,0.0767235915156553
1.0187713779528675,37976.67116716498,0.0715369697885113
0.0542957187924982,37975.59120996826,0.0700690078301142
0.9285390977707876,37974.64139632173,0.078864792990699
1.9646499864411984,37973.67532161881,0.0843461022535434
1.0538202492326634,37973.37701548416,0.0746146733018318
0.0654672116620815,37972.26666299768,0.0733592934375349
0.9020804947410732,37971.55038981135,0.0793402034871317
2.244916403838541,37970.18415383612,0.0769912215591234
1.084992652027602,37969.879432588605,0.0715897201163758
0.0612033726612652,37968.80553430003,0.0803532944156258
1.025532787865509,37968.26709110581,0.0795424932921325
2.096127987042065,37966.50062041816,0.0778405504567624
1.0686914803441674,37966.196878961855,0.0719627019334681
0.0774201751636548,37965.17586810369,0.0746223469439543
1.060586353873439,37964.78017243336,0.0774270294743935
2.131530270079368,37962.62222919687,0.0769598618865758
1.0963019776352672,37962.31739400557,0.0715752095941007
0.0749578155647447,37961.38542402672,0.047066299328778
1.053844430761078,37961.11118995764,0.0768357761812419
1.8635322962816645,37958.54887071612,0.0783328891144771
0.9371420543349814,37958.24669363648,0.07219939776878
0.9714822809629604,37957.248619035774,0.0820911953704523
2.05405905942368,37954.28294357826,0.077044185698433
1.0086348528771656,37953.97824409278,0.0708243554628487
0.9572197999699652,37953.18283978626,0.0769890615725441
1.8059079551729085,37949.81884153079,0.0868637478138104
0.9355717992324528,37949.52459562422,0.0770679916789821
1.049472628934971,37948.93794180159,0.0789651306908533
1.756258346162721,37945.17042628077,0.078932248034891
0.8889816550638655,37944.875848876814,0.0768013395031312
0.9891999027456304,37944.49587642671,0.0789019460998233
1.7117614860141366,37935.28515466656,0.0782191847277299
1.250062008592956,37935.01617685971,0.0871186212716021
1.5399025215874138,37930.04457414026,0.0839526510745948
0.6414831173093833,37929.78379611737,0.1072686856235738
0.0528062148135455,37919.73990846845,0.0536985554182914
0.6460806918647416,37919.39932122872,0.0815155162736004
1.3117731029966722,37919.02140217166,0.0799017540756165
0.6867766578048162,37918.729562713845,0.0797081691088843
0.0775392772484208,37917.56379911045,0.0776785405645099
0.121593522474835,37916.585562851054,0.0755822930423615
0.1564789345946513,37915.54419699938,0.0770599297193814
0.0530182697116858,37914.90497139951,0.0772389453793535
0.1818990645451756,37914.41700986917,0.0809817869288768
0.6323310222418345,37913.80376441849,0.0801139230197508
1.3695219580232605,37913.21400691309,0.080954300743692
0.5883229346069638,37912.92476889486,0.0787815784585676
0.0658753116195397,37912.68202458998,0.0416487928015325
0.2465143836763019,37911.9487139451,0.07495747231126
0.1939201668829731,37910.58146921726,0.0668298423189442
0.0518022763805076,37910.36027632787,0.0407857037707933
0.264789560403351,37909.16855230615,0.0752176504242325
0.0750914411004568,37908.539991010286,0.1264567426383861
0.6270122536022555,37908.01748097459,0.0804362535201721
0.2463277708036189,37907.67163668783,0.0789867750422712
1.133881326069862,37907.21343805764,0.0794880573968169
0.5500420597205999,37906.93399175751,0.0958387944917079
0.2127361207418389,37906.06982191933,0.0719765603064445
0.2550572737865735,37904.43157755055,0.0788992799391822
0.1077135127672276,37903.67293282486,0.072545550424705
0.04471483167778,37902.93111970875,0.0542627342181386
0.2277983861880444,37902.70509097971,0.0771726248283169
0.0495972947443291,37902.379755645255,0.0758108942824279
0.5268452353117359,37902.03515065414,0.079604338875643
0.0653726148763684,37899.45052622338,0.1499991035157304
