,A,$x_0$,w,assigned
0,0.03287588258428335,39970.00997875596,0.05028756955584999,False
1,0.04878483496114823,39958.72026519671,0.051064919720286366,False
2,0.04412117033305854,39958.54012987438,0.07537811993621579,False
3,0.034126344100051886,39955.992594708536,0.09811138325451582,False
4,0.04548074085200618,39955.837979760334,0.04741600790712145,False
5,0.06348690080458497,39930.0066261295,0.07165613226265542,False
6,0.03027245705210264,39879.72705605285,0.14999977201866527,False
7,7.403649637719028,39869.793695959524,0.10629610222905474,False
8,7.368613307970915,39869.62642598693,0.13439087005231537,False
9,0.02823636361578635,39859.82243548308,0.06582943573711193,False
10,0.03213513605743726,39859.59946108552,0.0734825639699359,False
11,0.031239003447885366,39858.98322404365,0.08681877002585196,False
12,0.045061711985047624,39840.41706871397,0.061067008781365444,False
13,0.06878035222293556,39840.17792344677,0.1325481936064571,False
14,0.02771330447567372,39829.98992089924,0.04558022857347838,False
15,0.0393675405985692,39810.004404568,0.04835217051830381,False
16,0.5145945451084798,39772.87926989184,0.10155806743564397,False
17,1.0674856475061225,39768.82345925053,0.10287746257660085,False
18,0.514566250145248,39766.8718145079,0.10388497819340611,False
19,0.051756312777151946,39638.575803836626,0.09802030089892365,False
20,0.09947993134698707,39633.53091388863,0.10850734267552091,False
21,0.04414247249281766,39633.04279866213,0.11361473725221656,False
22,0.030781833179642424,39274.77553953685,0.08560629779647068,False
23,0.028153448612042564,39203.701893368845,0.08244277751713718,False
25,0.09873171271024839,39114.16558231666,0.08127131669349782,False
26,0.1081548599614658,39113.925875728826,0.09556671258456415,False
28,0.08012451281501855,39082.23678186953,0.0884173706928166,False
29,0.08863342145103906,39082.00416410116,0.10291173435147558,False
30,0.15304467998693846,39039.99639085189,0.071389103563181,False
31,0.029235537062034418,38964.479143207165,0.07970509740561182,False
32,0.027112621429633825,38934.50230062601,0.06558438469710151,False
33,0.04444454194017426,38901.96023291254,0.08762317696023221,False
45,0.15279507550123234,38866.70097158809,0.09116247914730809,False
46,0.16209100220092332,38866.504656991914,0.05203496701446651,False
47,0.15277307083370698,38866.353837301074,0.07237941988207004,False
48,0.12201986664808226,38864.476272748514,0.09186283967556257,False
49,0.05752057838437977,38860.46407814088,0.08381356268349871,False
50,0.06023788516831727,38857.38218800992,0.06352800848998295,False
51,0.05608041778839964,38857.214843926624,0.0564323281235353,False
52,0.02510198561021408,38843.871060077785,0.1140666846088105,False
53,0.11863010153526576,38842.25016286987,0.10410413767709215,False
54,0.024244887315989394,38815.99431710758,0.11268178196526946,False
55,0.02688865533323554,38814.48341419072,0.07938032508656642,False
56,0.0645737563760639,38811.77488184733,0.11327424248382896,False
57,0.024201326555147507,38810.51809081612,0.13493545113935346,False
58,0.03385187029401326,38794.446147412964,0.054837241676609166,False
61,0.03737766745231836,38784.510014384134,0.09555676556586302,False
67,1.386011938218121,38727.90294280863,0.09934060734034557,False
70,1.0383461984728652,38715.64720939273,0.09824110013684409,False
71,0.11154715175961681,38701.89264418496,0.08836568347039213,False
72,0.2236544861311486,38699.870011318264,0.09581409440045068,False
73,0.12174775157355638,38695.89167181539,0.08912199561143937,False
74,0.025507116717603792,38676.30369635325,0.05698145844194707,False
75,0.38462335254381114,38628.54422139044,0.10659978689094764,False
76,0.7519673008720137,38624.05849835499,0.10616617777369335,False
77,0.3607562670682353,38622.680063258165,0.10430876558032177,False
78,0.025638835058238975,38510.34500559305,0.06766454373227843,False
79,0.0466592708858909,38508.40166842063,0.0692792963201559,False
80,0.1084671550246855,38486.3162948722,0.08400869825196204,False
81,0.21459744283490073,38484.269802949806,0.0940529275824907,False
82,0.1044814571411996,38480.252896688864,0.08712291421585167,False
83,0.01907014750530085,38429.33332558764,0.07969542364294344,False
84,0.042374354531356635,38376.56716229878,0.06388408735547008,False
85,0.036814422478734045,38374.21435946802,0.09181979370855463,False
86,0.14697831802250197,38247.215884418154,0.14394142491032583,False
87,0.0295750431274854,38241.6870544395,0.04969126911276972,False
88,0.09531461398837374,38241.505553341194,0.05545648241826578,False
89,0.2399079530864272,38241.25932333716,0.07551743099204802,False
90,0.12204648356242462,38241.07915649402,0.14999999996021732,False
91,0.09606068791616358,38240.74858405235,0.07447214408142162,False
92,0.08446134928496599,38240.54105887972,0.06705003707468686,False
93,0.07379167143526791,38240.225706585625,0.07944698328200386,False
94,0.04853125774957841,38239.9978742734,0.05568978190708861,False
95,0.019176013944745402,38239.55829502173,0.14999869642086816,False
96,0.25509407513798815,38235.83290967081,0.0971704730984507,False
97,0.23342255229763348,38200.430356802164,0.09353902949565107,False
98,0.40187535566063853,38198.43082841236,0.09706988953874414,False
99,0.25133209873872875,38194.5513750641,0.0928611103621069,False
100,0.03001369882589947,37991.11340458476,0.08080641863221741,False
101,0.02735353246683022,37990.37191236057,0.07256502596233387,False
102,0.5233926314089422,37988.20283843187,0.11050039988805849,False
103,0.2784206284008654,37987.87180422981,0.0813428657973166,False
104,0.7496325295524767,37985.67721083624,0.11793834616594025,False
105,0.35873756251686073,37985.34065221656,0.08364857545483144,False
106,0.8232546402469647,37982.930182999,0.13139433059179506,False
107,0.27759514396714496,37982.59877148414,0.08491101525914437,False
108,0.24383606526871596,37980.23996582032,0.10347496959674547,False
109,0.7588647308301631,37980.025594769475,0.11048750498884298,False
110,0.4087235221527664,37979.70560275525,0.08249808615816258,False
111,0.26502956995156185,37977.60894781393,0.06529317473914968,False
112,0.3925408523132556,37977.44670007892,0.07815541943422395,False
113,0.6089778657747222,37977.03036422831,0.06971829557991156,False
114,0.7472637894835662,37976.87133012101,0.059910578439710864,False
115,0.3963568266575477,37976.61822627117,0.10178883250527243,False
116,0.030132161365487936,37974.87677343157,0.040000001263356635,False
117,0.2991499498868281,37974.698025746584,0.06260956276447249,False
118,0.407910187679264,37974.53948409881,0.06781822170307024,False
119,0.23637176707828883,37973.75395103468,0.04238846461224982,False
120,0.5768481966245996,37973.56320644518,0.14999999999422212,False
121,0.3536830974536884,37973.32254535349,0.10336817344863641,False
122,0.2576238318816195,37971.61031115204,0.06531136921845171,False
123,0.3533392700332846,37971.44238513394,0.06657148733885289,False
124,0.45209529310187163,37970.25014606567,0.06225191253366898,False
125,0.6554867214566497,37970.08165010275,0.06636910388841065,False
126,0.32259686023913253,37969.81792155279,0.09418701508370682,False
127,0.2691164850770542,37968.3237497062,0.05975042595207927,False
128,0.3473017912175021,37968.15493274827,0.06644935608118628,False
129,0.5136188859493441,37966.43407174166,0.13886956940704573,False
130,0.26582036266944314,37966.09502433489,0.06381427332165283,False
131,0.2939697417010356,37964.73270374971,0.12335917380151604,False
132,0.35048718861030426,37962.69206628096,0.05568769238994642,False
133,0.4935664785172916,37962.508344196445,0.06868516185757287,False
134,0.24217943881271856,37962.242251825155,0.08873843343471652,False
135,0.21904150639844236,37961.17603528231,0.06614653120307264,False
136,0.2899547674189186,37960.995345500785,0.05842165305078034,False
137,0.27062255363923715,37958.624144278154,0.05375398922540734,False
138,0.44450254438186815,37958.43844538878,0.07201091740160914,False
139,0.2009994766659036,37958.164122521186,0.08540217515449139,False
140,0.22393312151728,37957.19384115326,0.12340568997968009,False
141,0.25418596016858974,37954.35778289931,0.05605829290244357,False
142,0.39774068036364696,37954.16791638338,0.06765758023642218,False
143,0.17941109812075995,37953.90097986082,0.08601374632364218,False
144,0.13158933436944517,37953.25578483495,0.06346664470893783,False
145,0.22119848017087895,37953.07614714833,0.06424516322425512,False
146,0.1398404293643504,37949.90602238713,0.04000000026423822,False
147,0.26939553745015177,37949.68700538064,0.1499999998865668,False
148,0.15851612980609858,37949.4548292832,0.11663767822619313,False
149,0.1247240117439705,37949.00785464009,0.06450974014449061,False
150,0.20365264478785255,37948.8245144626,0.060936431434073283,False
151,0.2065608726555845,37945.233345699584,0.06313544247484905,False
152,0.31938742695582134,37945.05136533708,0.07140979697716003,False
153,0.12546729683894864,37944.795217430445,0.14996078101596183,False
154,0.11556637924467772,37944.553155055975,0.06494512649939874,False
155,0.1847481566204707,37944.3909559431,0.06864665139008212,False
156,0.18224483761227211,37940.387351004436,0.06702438504251054,False
