,A,$x_0$,w,assigned
3,0.0290916363795781,39840.35877764985,0.0664474674736457,False
4,0.0341142008913854,39840.1132632396,0.0558471789986779,False
5,0.0252725534812871,39829.99193187106,0.0663850653879328,False
6,0.026325843120389,39789.99581861789,0.0647858607785928,False
7,0.439418258155469,39772.89830046417,0.079813860769799,True
8,0.8178324363586893,39768.84239359263,0.0811774168029522,True
9,0.396942628733275,39766.89183615237,0.0812384397513677,True
10,0.0392656016441024,39679.99812586132,0.0622085748727953,False
11,0.039929207189335,39638.58508384845,0.063120998449241,True
12,0.0985462878864709,39633.547047590895,0.0690713342834193,True
13,0.041336840274075,39633.07126262071,0.0926401514334836,True
14,0.0272030495992,39203.75033813544,0.0780065149861416,False
15,0.0762837993997871,39114.16876025057,0.0693837239962669,True
16,0.0650295541256341,39113.91887556256,0.0707780521142694,True
17,0.0574782962807564,39101.43980331512,0.076569869192062,False
18,0.0594309649045084,39082.25812539694,0.0712682404884813,False
19,0.055864090337496,39081.98968982063,0.0704824971968976,False
20,0.2481371634443914,39039.99784110917,0.0714801374780356,False
21,0.0532078726088541,38954.4902981956,0.0701388940093696,False
22,0.0280010094473209,38934.46214059519,0.0731834108853943,False
30,0.0920163709646967,38872.77177544239,0.0721918564658671,False
34,0.0865209419519893,38866.7265148968,0.0711805950824903,False
35,0.0715081077568941,38866.40711327136,0.0740266139422,False
36,0.0389799859875517,38857.30122759038,0.0623565279779136,False
37,1.376599047661731,38786.955028767625,0.0832090216225434,True
38,2.4951933074104824,38780.64162113016,0.0832471128558125,True
41,0.0230096022340189,38735.8899262581,0.1379434002817886,False
42,0.908953358261638,38727.91931211671,0.0833776692230638,True
43,1.3526888227567384,38721.37696314864,0.0825279994614359,True
44,0.7592924592063514,38715.66447952666,0.0811460715831779,True
45,0.0755077197777937,38701.89816719848,0.0703222120720471,True
46,0.1196784402650002,38699.88656255893,0.0743361266529669,True
47,0.0789773057301583,38695.92372249244,0.069045337464582,True
48,0.4491496469491157,38628.56723737538,0.0790714289059698,True
49,0.6491421050842328,38624.08034218025,0.0801948474513582,True
50,0.3511843329606426,38622.700077597096,0.0802321088165068,True
51,0.0286122131416895,38508.39699780887,0.0590451623779056,False
52,0.0406165280844136,38486.317825496335,0.0777421960016598,False
53,0.0996346015059787,38484.28992288664,0.0803062972248874,False
54,0.0515938858430545,38480.29100463727,0.1016076028688302,False
55,0.0293503103916644,38376.57056513726,0.0672103627265141,False
56,0.0210430127619802,38374.30753863997,0.1231631417303955,False
57,0.0674286677155552,38247.34185786824,0.0789568692579516,True
58,0.0477588523028412,38247.12071047465,0.0910013511202335,True
65,0.1636910679611289,38235.86259755322,0.0783038977698944,True
66,0.1666674159378278,38200.4593982892,0.0739998875535794,False
67,0.2579763208935216,38198.454712612926,0.082421369862356,False
68,0.1685132494503984,38194.57126674506,0.0766681114126871,False
69,0.5549918947221474,37988.22277809015,0.0794044214235563,True
70,0.2697736768749939,37987.91548851773,0.0697312182745181,True
71,0.9801142475133728,37985.69895234965,0.0824675176365759,True
72,0.4744407900742867,37985.39870586807,0.0805031406284412,True
77,0.4014176338192226,37977.52976181963,0.0811142010848417,True
78,0.9570788456272667,37976.9595886325,0.0819921397802481,True
79,0.4601496237996246,37976.65833757347,0.0806350569591054,True
80,0.4173025425786916,37974.62825928764,0.0820338671459426,True
81,0.7019959980426917,37973.65857716692,0.0911700140946458,True
82,0.3473241080563863,37973.36142744205,0.0754552304810006,True
83,0.3842289073308695,37971.53384112208,0.0823103651725763,True
84,0.6056179412014403,37970.16499840793,0.0863384266032461,True
85,0.2865575084394595,37969.87457067904,0.0911635022792579,True
86,0.4595626887852874,37968.24749287844,0.0820742274063181,True
87,0.5207800564094186,37966.4846802309,0.0833207005459394,True
88,0.2866844694806735,37966.18515277935,0.0786869553460971,True
89,0.3052314087330822,37964.763735033775,0.0807249414338331,True
90,0.5240337046371759,37962.60032419713,0.0828767594556721,True
91,0.2454747441847309,37962.30293847343,0.0790126056788341,True
92,0.3251659301983251,37961.09818166053,0.0812911339212938,True
93,0.3757250503098635,37958.52966461311,0.0860385749509481,True
94,0.1929744364400277,37958.24438435045,0.0921631957548505,True
95,0.2377713850662534,37957.22956149951,0.0838015254572001,True
96,0.3066118679524077,37954.25752310606,0.0846270071673783,True
97,0.1387391942264573,37953.969268073655,0.0781139654855181,True
98,0.1883508514049912,37953.16653927675,0.0821680154622846,True
99,0.3137487998259952,37949.797436082015,0.0813235895348488,True
100,0.1503016107226787,37949.48528395952,0.0810943732453961,True
101,0.1526430293039352,37948.91596088823,0.0796204392015328,True
102,0.2609190893293099,37945.14411209471,0.083186226793899,True
103,0.1161223146768294,37944.84342976428,0.0795879154978456,True
104,0.1409885109472308,37944.47943618286,0.0822732574724929,True
107,0.1360022951042652,37935.265615818455,0.0925695215238301,True
108,0.1411859314403541,37934.9818558608,0.0803173925435994,True
109,0.1659674921719135,37930.03073175822,0.0883195802708948,True
110,0.0756924619958373,37929.74495377964,0.0797147613722577,True
113,0.0532732019508478,37919.386421899486,0.0829787092613162,True
114,0.0969208075759733,37918.99984450328,0.0890988016038188,True
115,0.0334245308340206,37918.70468380318,0.0746638334411538,True
116,0.0465485704810161,37913.780199508365,0.07630929721451,True
117,0.1224766922266995,37913.191507922194,0.0859871210128646,True
118,0.0410715671139591,37912.86920020982,0.0570180717193805,True
119,0.0365157087248659,37907.97682406336,0.070949815484379,True
120,0.0757271334162174,37907.19942064767,0.0912674244678193,True
121,0.0321958905998086,37906.86767371836,0.0701469744329455,True
126,0.0466976188056464,37888.047523004585,0.0833132854925857,True
127,0.0275005563310771,37886.30077609567,0.0729252465792656,False
128,0.0283838641678129,37874.27527946194,0.0506894284998761,False
129,0.0288603829437019,37859.83109719555,0.0767904282015699,True
130,1.8476943432199413,37750.52556631851,0.0811886454275857,True
141,2.340689520932227,37713.02351712731,0.0816378277051753,True
142,0.0290989995384919,37711.31528543524,0.0756649194760652,False
143,0.0329427367843985,37705.92478334219,0.0789307870515137,False
144,0.0455518638665497,37700.53343972788,0.0718778430804437,False
145,0.9509428715058572,37612.675864688485,0.0828720705785767,True
146,1.6133196756036212,37608.83719385742,0.0825480967494838,True
147,1.2856691588900877,37606.61143579591,0.0817375296338636,True
148,0.027926524216474,37548.35907178855,0.0682858396634806,False
149,0.0663647394460523,37533.28148287671,0.0748244605959415,False
150,0.0505167837170776,37531.95567286496,0.0648788083602427,False
151,0.1261370871477721,37481.50982742175,0.0719180936512386,True
152,0.2177966387827682,37476.63433163155,0.0792806705111265,True
153,0.0922825674710043,37475.84609746178,0.0793869735625585,True
154,0.0302799227435891,37378.34349742339,0.0605018125326353,False
155,0.029506621397791,37226.10757352731,0.0741483650121434,True
156,0.057069101153857,37220.171069287775,0.0631523353854668,True
157,0.0297293585134124,37213.90661220841,0.065170286229604,True
158,0.0250852801681379,37201.877273273785,0.1152577490704638,True
159,0.0434228865745911,37196.59984372271,0.0714689801387947,True
160,0.0881631474517698,37128.05190187745,0.0835451108085485,False
161,0.0428022818035871,37124.37435891315,0.0649288729359359,False
